Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared
140,46.3,1680.5,1.88,17.38779,0

141,45.8,1726.3,1.93,17.49227,0

142,33.05,1759.35,1.98,17.28637,0

143,67.9,1827.25,1.83,17.91092,1

144,37.15,1864.4,1.93,17.70307,0

145,21.65,1886.05,1.37,17.19324,0

146,30.5,1916.55,1.41,16.99724,0

147,47.0,1963.55,1.9,17.2166,0

148,39.2,2002.75,1.47,17.2111,0

149,28.9,2031.65,3.63,16.97508,0

150,54.25,2085.9,2.7,17.36255,0

151,47.15,2133.05,1.26,17.50308,0

152,37.75,2170.8,2.87,17.4005,0

153,28.4,2199.2,3.31,17.11062,0

154,52.75,2251.95,1.66,17.43384,0

155,57.9,2309.85,1.71,17.80021,0

156,43.2,2353.05,1.7,17.7534,0

157,19.15,2372.2,3.12,17.17599,0

158,35.55,2407.75,1.34,17.0975,0

159,31.5,2439.25,3.27,16.94555,0

160,45.5,2484.75,2.0,17.14278,0

161,25.05,2509.8,2.54,16.83552,0

162,31.25,2541.05,2.23,16.73688,0

163,40.3,2581.35,2.07,16.86407,0

164,29.15,2610.5,2.14,16.71176,0

165,63.5,2674.0,2.19,17.3666,0

166,12.15,2686.15,1.8,16.71872,0

167,30.65,2716.8,1.79,16.63287,0

168,23.6,2740.4,2.31,16.40771,0

169,30.35,2770.75,1.73,16.38508,0

170,36.7,2807.45,1.61,16.51042,0

171,49.35,2856.8,2.4,16.89219,0

172,46.8,2903.6,2.5,17.13068,0

173,41.8,2945.4,2.09,17.20301,0

174,30.95,2976.35,1.83,17.01494,0

175,26.95,3003.3,3.21,16.77919,0

176,61.15,3064.45,1.38,17.36598,1

177,19.45,3083.9,2.23,16.88249,0

178,40.65,3124.55,1.82,16.98479,0

179,41.5,3166.05,1.43,17.0832,0

180,33.1,3199.15,2.74,16.97046,0

181,18.15,3217.3,2.62,16.54672,0

182,42.1,3259.4,2.6,16.75719,0

183,51.95,3311.35,2.26,17.14193,0

184,41.45,3352.8,1.54,17.20385,0

185,64.55,3417.35,2.42,17.7716,0

186,54.55,3471.9,1.85,17.9866,0

187,49.65,3521.55,3.06,18.04297,0

188,28.95,3550.5,2.16,17.62091,0

189,29.95,3580.45,2.47,17.31631,0

190,20.6,3601.05,2.8,16.86988,0

191,22.25,3623.3,2.83,16.56101,0

192,34.45,3657.75,1.37,16.59614,0

193,32.0,3689.75,1.91,16.56825,0

194,39.45,3729.2,1.72,16.71425,0

195,36.55,3765.75,1.33,16.76215,0

196,39.45,3805.2,2.79,16.86453,0

197,28.3,3833.5,0.99,16.69299,0

198,35.95,3869.45,2.66,16.73218,0

199,18.45,3887.9,3.53,16.3688,0

200,12.3,3900.2,3.13,15.9488,0

201,31.2,3931.4,2.65,16.04855,0

202,19.65,3951.05,2.71,15.86599,0

203,45.6,3996.65,1.87,16.30837,0

204,23.1,4019.75,2.31,16.14497,0

205,26.95,4046.7,2.38,16.10496,0

206,38.65,4085.35,1.31,16.33721,0

207,30.65,4116.0,2.57,16.33719,0

208,51.55,4167.55,2.06,16.80743,0

209,60.0,4227.55,1.89,17.36199,0

210,24.2,4251.75,1.29,16.98628,0

211,45.15,4296.9,1.56,17.16647,0

212,42.55,4339.45,1.7,17.24763,0

213,27.25,4366.7,1.7,16.96627,0

214,24.6,4391.3,1.97,16.68859,0

215,53.8,4445.1,2.75,17.13039,0

216,61.4,4506.5,2.63,17.64379,0

217,33.1,4539.6,1.92,17.40492,0

218,28.8,4568.4,2.14,17.12305,0

219,28.05,4596.45,2.8,16.88772,0

220,24.6,4621.05,2.65,16.62772,0

221,31.45,4652.5,1.91,16.58034,0

222,39.45,4691.95,0.91,16.72362,0

