Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared
601,26.2,18345.0,1.92,22.7316,0

602,27.05,18372.05,2.17,22.61856,0

603,22.2,18394.25,1.61,22.42182,0

604,28.75,18423.0,1.19,22.67108,0

605,36.8,18459.8,3.08,23.04538,0

606,13.05,18472.85,2.51,22.80109,0

607,7.4,18480.25,2.66,22.48464,0

608,5.9,18486.15,3.57,22.20564,0

609,46.45,18532.6,2.49,22.90179,0

610,90.2,18622.8,2.63,24.42568,0

611,36.85,18659.65,3.11,24.40632,0

612,60.5,18720.15,2.7,24.92344,0

613,32.65,18752.8,2.43,24.69758,0

614,22.8,18775.6,3.46,24.30092,0

615,22.2,18797.8,1.89,23.98001,0

616,32.7,18830.5,1.93,23.96755,0

617,18.3,18848.8,1.1,23.63389,0

618,22.0,18870.8,2.62,23.45856,0

619,32.85,18903.65,2.8,23.5668,0

620,30.85,18934.5,3.3,23.60569,0

621,21.15,18955.65,3.34,23.41758,0

622,25.2,18980.85,1.39,23.36292,0

623,36.85,19017.7,2.5,23.58268,0

624,69.6,19087.3,3.35,24.48987,0

